County,Data Generation Date,OSHPD Project Status,Total Costs of OSHPD Projects,Number of OSHPD Projects,Collection of Counties
34 - Sacramento,11/26/2013,In Closure,$112049470.05,58,Greater Sacramento Counties
35 - San Benito,11/26/2013,In Review,$0.00,0,
35 - San Benito,11/26/2013,Pending Construction,$0.00,0,
35 - San Benito,11/26/2013,In Construction,$14231955.00,4,
35 - San Benito,11/26/2013,In Closure,$252000.00,2,
36 - San Bernardino,11/26/2013,In Review,$683761083.53,45,
36 - San Bernardino,11/26/2013,Pending Construction,$13591786.78,44,
36 - San Bernardino,11/26/2013,In Construction,$202766370.25,125,
36 - San Bernardino,11/26/2013,In Closure,$177970455.29,77,
37 - San Diego,11/26/2013,In Review,$470795162.08,113,
37 - San Diego,11/26/2013,Pending Construction,$183145190.74,117,
37 - San Diego,11/26/2013,In Construction,$697838253.65,207,
37 - San Diego,11/26/2013,In Closure,$456476953.22,242,
38 - San Francisco,11/26/2013,In Review,$924817398.31,66,Bay Area Counties
38 - San Francisco,11/26/2013,Pending Construction,$485233878.11,67,Bay Area Counties
38 - San Francisco,11/26/2013,In Construction,$1035694000.22,123,Bay Area Counties
38 - San Francisco,11/26/2013,In Closure,$289400909.35,98,Bay Area Counties
39 - San Joaquin,11/26/2013,In Review,$4365799.80,19,
39 - San Joaquin,11/26/2013,Pending Construction,$91103170.00,33,
39 - San Joaquin,11/26/2013,In Construction,$24786644.58,47,
39 - San Joaquin,11/26/2013,In Closure,$18770078.44,17,
40 - San Luis Obispo,11/26/2013,In Review,$2891415.00,11,
40 - San Luis Obispo,11/26/2013,Pending Construction,$344000.00,9,
40 - San Luis Obispo,11/26/2013,In Construction,$6619961.10,18,
40 - San Luis Obispo,11/26/2013,In Closure,$9746562.02,31,
41 - San Mateo,11/26/2013,In Review,$74317512.52,28,Bay Area Counties
41 - San Mateo,11/26/2013,Pending Construction,$40474829.46,25,Bay Area Counties
41 - San Mateo,11/26/2013,In Construction,$329136538.77,65,Bay Area Counties
41 - San Mateo,11/26/2013,In Closure,$85511700.96,45,Bay Area Counties
42 - Santa Barbara,11/26/2013,In Review,$10102000.00,15,
42 - Santa Barbara,11/26/2013,Pending Construction,$77921440.40,20,
42 - Santa Barbara,11/26/2013,In Construction,$299925351.64,39,
42 - Santa Barbara,11/26/2013,In Closure,$95273005.83,23,
43 - Santa Clara,11/26/2013,In Review,$714272560.42,76,Bay Area Counties
43 - Santa Clara,11/26/2013,Pending Construction,$14550605.00,60,Bay Area Counties
43 - Santa Clara,11/26/2013,In Construction,$972321729.32,151,Bay Area Counties
43 - Santa Clara,11/26/2013,In Closure,$104121328.04,134,Bay Area Counties
44 - Santa Cruz,11/26/2013,In Review,$11340229.00,8,
44 - Santa Cruz,11/26/2013,Pending Construction,$276407.50,7,
44 - Santa Cruz,11/26/2013,In Construction,$3356091.99,17,
44 - Santa Cruz,11/26/2013,In Closure,$8362899.00,14,
45 - Shasta,11/26/2013,In Review,$23372545.00,12,
45 - Shasta,11/26/2013,Pending Construction,$2827287.00,20,
45 - Shasta,11/26/2013,In Construction,$5256618.81,19,
45 - Shasta,11/26/2013,In Closure,$9013286.00,4,
46 - Sierra,11/26/2013,In Review,$0.00,0,
46 - Sierra,11/26/2013,Pending Construction,$0.00,0,
46 - Sierra,11/26/2013,In Construction,$0.00,0,
46 - Sierra,11/26/2013,In Closure,$0.00,0,
47 - Siskiyou,11/26/2013,In Review,$10000.00,1,
47 - Siskiyou,11/26/2013,Pending Construction,$726700.00,3,
47 - Siskiyou,11/26/2013,In Construction,$1090562.07,7,
47 - Siskiyou,11/26/2013,In Closure,$60000.00,2,
48 - Solano,11/26/2013,In Review,$3765159.00,12,Bay Area Counties
48 - Solano,11/26/2013,Pending Construction,$9844845.00,12,Bay Area Counties
48 - Solano,11/26/2013,In Construction,$42405877.13,29,Bay Area Counties
48 - Solano,11/26/2013,In Closure,$32463073.00,22,Bay Area Counties
49 - Sonoma,11/26/2013,In Review,$30691568.60,12,Bay Area Counties
49 - Sonoma,11/26/2013,Pending Construction,$6968255.00,24,Bay Area Counties
49 - Sonoma,11/26/2013,In Construction,$127749431.30,41,Bay Area Counties
49 - Sonoma,11/26/2013,In Closure,$37987559.30,24,Bay Area Counties
50 - Stanislaus,11/26/2013,In Review,$26288550.00,16,
50 - Stanislaus,11/26/2013,Pending Construction,$2233535.00,23,
50 - Stanislaus,11/26/2013,In Construction,$13837109.66,35,
50 - Stanislaus,11/26/2013,In Closure,$81524366.97,36,
51 - Sutter,11/26/2013,In Review,$12654500.00,3,
51 - Sutter,11/26/2013,Pending Construction,$80683.00,3,
51 - Sutter,11/26/2013,In Construction,$0.00,0,
51 - Sutter,11/26/2013,In Closure,$54875.59,3,
52 - Tehama,11/26/2013,In Review,$350000.00,1,
52 - Tehama,11/26/2013,Pending Construction,$414500.00,6,
52 - Tehama,11/26/2013,In Construction,$1809800.00,4,
52 - Tehama,11/26/2013,In Closure,$9700.00,1,
53 - Trinity,11/26/2013,In Review,$8200.00,2,
53 - Trinity,11/26/2013,Pending Construction,$13200.00,2,
53 - Trinity,11/26/2013,In Construction,$411172.00,1,
53 - Trinity,11/26/2013,In Closure,$0.00,0,
54 - Tulare,11/26/2013,In Review,$34722400.00,15,
54 - Tulare,11/26/2013,Pending Construction,$2612766.29,9,
54 - Tulare,11/26/2013,In Construction,$83461587.00,9,
54 - Tulare,11/26/2013,In Closure,$5927099.62,19,
55 - Tuolumne,11/26/2013,In Review,$8000.00,1,
55 - Tuolumne,11/26/2013,Pending Construction,$1007100.00,6,
55 - Tuolumne,11/26/2013,In Construction,$634000.00,4,
55 - Tuolumne,11/26/2013,In Closure,$1167723.91,11,
56 - Ventura,11/26/2013,In Review,$234939632.68,47,Greater Los Angeles Counties
56 - Ventura,11/26/2013,Pending Construction,$9939234.33,34,Greater Los Angeles Counties
56 - Ventura,11/26/2013,In Construction,$393857321.00,68,Greater Los Angeles Counties
56 - Ventura,11/26/2013,In Closure,$34502052.00,57,Greater Los Angeles Counties
57 - Yolo,11/26/2013,In Review,$745911.00,6,Greater Sacramento Counties
57 - Yolo,11/26/2013,Pending Construction,$584000.00,3,Greater Sacramento Counties
57 - Yolo,11/26/2013,In Construction,$1502144.00,8,Greater Sacramento Counties
57 - Yolo,11/26/2013,In Closure,$59405.00,2,Greater Sacramento Counties
58 - Yuba,11/26/2013,In Review,$31557206.50,3,
58 - Yuba,11/26/2013,Pending Construction,$32194189.50,3,
58 - Yuba,11/26/2013,In Construction,$68363126.00,5,
58 - Yuba,11/26/2013,In Closure,$446592.00,4,
01 - Alameda,12/12/2013,In Review,$36928857.00,43,Bay Area Counties
01 - Alameda,12/12/2013,Pending Construction,$403337576.94,126,Bay Area Counties
01 - Alameda,12/12/2013,In Construction,$1481037884.93,187,Bay Area Counties
01 - Alameda,12/12/2013,In Closure,$62848475.80,63,Bay Area Counties
02 - Alpine,12/12/2013,In Review,$0.00,0,
02 - Alpine,12/12/2013,Pending Construction,$0.00,0,
02 - Alpine,12/12/2013,In Construction,$0.00,0,
02 - Alpine,12/12/2013,In Closure,$0.00,0,
03 - Amador,12/12/2013,In Review,$1293951.00,1,
03 - Amador,12/12/2013,Pending Construction,$316858.00,1,
03 - Amador,12/12/2013,In Construction,$1838095.00,9,
03 - Amador,12/12/2013,In Closure,$0.00,0,
04 - Butte,12/12/2013,In Review,$6041521.00,9,
04 - Butte,12/12/2013,Pending Construction,$2341586.00,8,
04 - Butte,12/12/2013,In Construction,$90754945.00,15,
04 - Butte,12/12/2013,In Closure,$927211.00,8,
05 - Calaveras,12/12/2013,In Review,$85000.00,1,
05 - Calaveras,12/12/2013,Pending Construction,$51500.00,2,
05 - Calaveras,12/12/2013,In Construction,$0.00,0,
05 - Calaveras,12/12/2013,In Closure,$213991.00,2,
06 - Colusa,12/12/2013,In Review,$15000.00,1,
06 - Colusa,12/12/2013,Pending Construction,$25000.00,1,
06 - Colusa,12/12/2013,In Construction,$1951.00,1,
06 - Colusa,12/12/2013,In Closure,$0.00,0,
07 - Contra Costa,12/12/2013,In Review,$23339567.00,30,Bay Area Counties
07 - Contra Costa,12/12/2013,Pending Construction,$19654102.00,46,Bay Area Counties
07 - Contra Costa,12/12/2013,In Construction,$38514933.98,58,Bay Area Counties
07 - Contra Costa,12/12/2013,In Closure,$5006070.00,22,Bay Area Counties
08 - Del Norte,12/12/2013,In Review,$0.00,0,
08 - Del Norte,12/12/2013,Pending Construction,$0.00,0,
08 - Del Norte,12/12/2013,In Construction,$6462001.00,3,
08 - Del Norte,12/12/2013,In Closure,$563641.00,3,
09 - El Dorado,12/12/2013,In Review,$11759315.00,6,Greater Sacramento Counties
09 - El Dorado,12/12/2013,Pending Construction,$12500.00,1,Greater Sacramento Counties
09 - El Dorado,12/12/2013,In Construction,$12210865.00,6,Greater Sacramento Counties
09 - El Dorado,12/12/2013,In Closure,$23367713.00,4,Greater Sacramento Counties
10 - Fresno,12/12/2013,In Review,$41402132.71,41,
10 - Fresno,12/12/2013,Pending Construction,$12576149.00,36,
10 - Fresno,12/12/2013,In Construction,$236932757.91,76,
10 - Fresno,12/12/2013,In Closure,$15625451.76,56,
11 - Glenn,12/12/2013,In Review,$0.00,0,
11 - Glenn,12/12/2013,Pending Construction,$0.00,0,
11 - Glenn,12/12/2013,In Construction,$224685.00,1,
11 - Glenn,12/12/2013,In Closure,$10000.00,1,
12 - Humboldt,12/12/2013,In Review,$5180000.00,8,
12 - Humboldt,12/12/2013,Pending Construction,$1670000.00,6,
12 - Humboldt,12/12/2013,In Construction,$88120714.00,13,
12 - Humboldt,12/12/2013,In Closure,$676846.00,7,
13 - Imperial,12/12/2013,In Review,$6035000.00,2,
13 - Imperial,12/12/2013,Pending Construction,$1335063.00,5,
13 - Imperial,12/12/2013,In Construction,$98000.00,2,
13 - Imperial,12/12/2013,In Closure,$508711.00,2,
14 - Inyo,12/12/2013,In Review,$0.00,0,
14 - Inyo,12/12/2013,Pending Construction,$39903.00,2,
14 - Inyo,12/12/2013,In Construction,$9300.00,2,
14 - Inyo,12/12/2013,In Closure,$49769715.54,3,
15 - Kern,12/12/2013,In Review,$8187084.00,22,
15 - Kern,12/12/2013,Pending Construction,$1264709.00,14,
15 - Kern,12/12/2013,In Construction,$66951552.00,34,
15 - Kern,12/12/2013,In Closure,$16407841.77,25,
16 - Kings,12/12/2013,In Review,$440000.00,6,
16 - Kings,12/12/2013,Pending Construction,$28270000.00,7,
16 - Kings,12/12/2013,In Construction,$318722.00,6,
16 - Kings,12/12/2013,In Closure,$519936.00,7,
17 - Lake,12/12/2013,In Review,$1055000.00,3,
17 - Lake,12/12/2013,Pending Construction,$131500.00,3,
17 - Lake,12/12/2013,In Construction,$5747697.23,14,
17 - Lake,12/12/2013,In Closure,$89341.04,4,
18 - Lassen,12/12/2013,In Review,$935870.00,2,
18 - Lassen,12/12/2013,Pending Construction,$145120.00,1,
18 - Lassen,12/12/2013,In Construction,$1165643.00,9,
18 - Lassen,12/12/2013,In Closure,$0.00,0,
19 - Los Angeles,12/12/2013,In Review,$499432716.68,436,Greater Los Angeles Counties
19 - Los Angeles,12/12/2013,Pending Construction,$270760517.98,508,Greater Los Angeles Counties
19 - Los Angeles,12/12/2013,In Construction,$2237166524.73,848,Greater Los Angeles Counties
19 - Los Angeles,12/12/2013,In Closure,$623617861.49,732,Greater Los Angeles Counties
20 - Madera,12/12/2013,In Review,$695954.00,1,
20 - Madera,12/12/2013,Pending Construction,$0.00,0,
20 - Madera,12/12/2013,In Construction,$5355573.00,21,
20 - Madera,12/12/2013,In Closure,$15293702.53,14,
21 - Marin,12/12/2013,In Review,$180528715.00,16,Bay Area Counties
21 - Marin,12/12/2013,Pending Construction,$44682250.00,11,Bay Area Counties
21 - Marin,12/12/2013,In Construction,$24286201.00,21,Bay Area Counties
21 - Marin,12/12/2013,In Closure,$6563197.00,13,Bay Area Counties
22 - Mariposa,12/12/2013,In Review,$0.00,0,
22 - Mariposa,12/12/2013,Pending Construction,$0.00,0,
22 - Mariposa,12/12/2013,In Construction,$0.00,0,
22 - Mariposa,12/12/2013,In Closure,$0.00,0,
23 - Mendocino,12/12/2013,In Review,$3027175.00,10,
23 - Mendocino,12/12/2013,Pending Construction,$16763000.00,6,
23 - Mendocino,12/12/2013,In Construction,$2246474.00,13,
23 - Mendocino,12/12/2013,In Closure,$37709600.00,6,
24 - Merced,12/12/2013,In Review,$233600.00,4,
24 - Merced,12/12/2013,Pending Construction,$254075.00,5,
24 - Merced,12/12/2013,In Construction,$12965854.00,4,
24 - Merced,12/12/2013,In Closure,$333485.20,4,
25 - Modoc,12/12/2013,In Review,$0.00,0,
25 - Modoc,12/12/2013,Pending Construction,$12500.00,1,
25 - Modoc,12/12/2013,In Construction,$0.00,0,
25 - Modoc,12/12/2013,In Closure,$0.00,0,
26 - Mono,12/12/2013,In Review,$190794.00,2,
26 - Mono,12/12/2013,Pending Construction,$0.00,0,
26 - Mono,12/12/2013,In Construction,$22398.00,4,
26 - Mono,12/12/2013,In Closure,$533972.00,2,
27 - Monterey,12/12/2013,In Review,$1941290.00,8,
27 - Monterey,12/12/2013,Pending Construction,$1507476.00,13,
27 - Monterey,12/12/2013,In Construction,$36310171.00,18,
27 - Monterey,12/12/2013,In Closure,$2228806.65,14,
28 - Napa,12/12/2013,In Review,$535000.00,5,Bay Area Counties
28 - Napa,12/12/2013,Pending Construction,$669298.00,7,Bay Area Counties
28 - Napa,12/12/2013,In Construction,$34351720.00,12,Bay Area Counties
28 - Napa,12/12/2013,In Closure,$50586897.76,23,Bay Area Counties
29 - Nevada,12/12/2013,In Review,$15477056.00,7,
29 - Nevada,12/12/2013,Pending Construction,$3819556.00,4,
29 - Nevada,12/12/2013,In Construction,$30353994.00,21,
29 - Nevada,12/12/2013,In Closure,$0.00,0,
30 - Orange,12/12/2013,In Review,$33368599.33,85,Greater Los Angeles Counties
30 - Orange,12/12/2013,Pending Construction,$23121267.33,63,Greater Los Angeles Counties
30 - Orange,12/12/2013,In Construction,$224983694.14,143,Greater Los Angeles Counties
30 - Orange,12/12/2013,In Closure,$336519324.51,211,Greater Los Angeles Counties
31 - Placer,12/12/2013,In Review,$10108385.00,12,Greater Sacramento Counties
31 - Placer,12/12/2013,Pending Construction,$686000.00,6,Greater Sacramento Counties
31 - Placer,12/12/2013,In Construction,$56797373.80,18,Greater Sacramento Counties
31 - Placer,12/12/2013,In Closure,$76792339.61,18,Greater Sacramento Counties
32 - Plumas,12/12/2013,In Review,$45441.00,2,
32 - Plumas,12/12/2013,Pending Construction,$83000.00,2,
32 - Plumas,12/12/2013,In Construction,$85900.00,2,
32 - Plumas,12/12/2013,In Closure,$0.00,0,
33 - Riverside,12/12/2013,In Review,$248844851.72,65,
33 - Riverside,12/12/2013,Pending Construction,$144356435.00,68,
33 - Riverside,12/12/2013,In Construction,$144178048.63,122,
33 - Riverside,12/12/2013,In Closure,$48162853.00,120,
34 - Sacramento,12/12/2013,In Review,$51410603.00,39,Greater Sacramento Counties
34 - Sacramento,12/12/2013,Pending Construction,$92945419.19,36,Greater Sacramento Counties
34 - Sacramento,12/12/2013,In Construction,$264496501.14,125,Greater Sacramento Counties
34 - Sacramento,12/12/2013,In Closure,$114148509.90,62,Greater Sacramento Counties
35 - San Benito,12/12/2013,In Review,$0.00,0,
35 - San Benito,12/12/2013,Pending Construction,$0.00,0,
35 - San Benito,12/12/2013,In Construction,$14231955.00,4,
35 - San Benito,12/12/2013,In Closure,$252000.00,2,
36 - San Bernardino,12/12/2013,In Review,$196134914.53,45,
36 - San Bernardino,12/12/2013,Pending Construction,$16026786.78,47,
36 - San Bernardino,12/12/2013,In Construction,$202293167.25,118,
36 - San Bernardino,12/12/2013,In Closure,$60054385.00,79,
37 - San Diego,12/12/2013,In Review,$417618603.86,122,
37 - San Diego,12/12/2013,Pending Construction,$214621769.29,113,
37 - San Diego,12/12/2013,In Construction,$720503701.30,220,
37 - San Diego,12/12/2013,In Closure,$420095547.22,231,
38 - San Francisco,12/12/2013,In Review,$1237802398.31,66,Bay Area Counties
38 - San Francisco,12/12/2013,Pending Construction,$356714890.39,67,Bay Area Counties
38 - San Francisco,12/12/2013,In Construction,$1171677837.94,118,Bay Area Counties
38 - San Francisco,12/12/2013,In Closure,$292248954.35,99,Bay Area Counties
39 - San Joaquin,12/12/2013,In Review,$5469678.80,21,
39 - San Joaquin,12/12/2013,Pending Construction,$91117472.00,32,
39 - San Joaquin,12/12/2013,In Construction,$24829644.58,48,
39 - San Joaquin,12/12/2013,In Closure,$18875108.44,18,
40 - San Luis Obispo,12/12/2013,In Review,$2891415.00,11,
40 - San Luis Obispo,12/12/2013,Pending Construction,$344000.00,9,
40 - San Luis Obispo,12/12/2013,In Construction,$6644961.10,18,
40 - San Luis Obispo,12/12/2013,In Closure,$9975677.02,30,
41 - San Mateo,12/12/2013,In Review,$74573192.52,29,Bay Area Counties
41 - San Mateo,12/12/2013,Pending Construction,$36749309.46,23,Bay Area Counties
41 - San Mateo,12/12/2013,In Construction,$333929300.77,68,Bay Area Counties
41 - San Mateo,12/12/2013,In Closure,$85336170.43,44,Bay Area Counties
42 - Santa Barbara,12/12/2013,In Review,$10102000.00,15,
42 - Santa Barbara,12/12/2013,Pending Construction,$77928440.40,20,
42 - Santa Barbara,12/12/2013,In Construction,$300146351.64,40,
42 - Santa Barbara,12/12/2013,In Closure,$95375296.45,22,
43 - Santa Clara,12/12/2013,In Review,$733219403.41,75,Bay Area Counties
43 - Santa Clara,12/12/2013,Pending Construction,$14638055.00,63,Bay Area Counties
43 - Santa Clara,12/12/2013,In Construction,$972428644.31,150,Bay Area Counties
43 - Santa Clara,12/12/2013,In Closure,$97756519.24,134,Bay Area Counties
44 - Santa Cruz,12/12/2013,In Review,$11340229.00,8,
44 - Santa Cruz,12/12/2013,Pending Construction,$276407.50,7,
44 - Santa Cruz,12/12/2013,In Construction,$3356091.99,17,
44 - Santa Cruz,12/12/2013,In Closure,$8532386.81,15,
45 - Shasta,12/12/2013,In Review,$23372545.00,12,
45 - Shasta,12/12/2013,Pending Construction,$2827287.00,20,
45 - Shasta,12/12/2013,In Construction,$5256618.81,19,
45 - Shasta,12/12/2013,In Closure,$9013286.00,4,
46 - Sierra,12/12/2013,In Review,$0.00,0,
46 - Sierra,12/12/2013,Pending Construction,$0.00,0,
46 - Sierra,12/12/2013,In Construction,$0.00,0,
46 - Sierra,12/12/2013,In Closure,$0.00,0,
47 - Siskiyou,12/12/2013,In Review,$10000.00,1,
47 - Siskiyou,12/12/2013,Pending Construction,$726700.00,3,
47 - Siskiyou,12/12/2013,In Construction,$1090562.07,7,
47 - Siskiyou,12/12/2013,In Closure,$60000.00,2,
48 - Solano,12/12/2013,In Review,$8617159.00,15,Bay Area Counties
48 - Solano,12/12/2013,Pending Construction,$9844845.00,12,Bay Area Counties
48 - Solano,12/12/2013,In Construction,$42467377.13,29,Bay Area Counties
48 - Solano,12/12/2013,In Closure,$32463073.00,22,Bay Area Counties
49 - Sonoma,12/12/2013,In Review,$24742568.60,12,Bay Area Counties
49 - Sonoma,12/12/2013,Pending Construction,$2592744.00,19,Bay Area Counties
49 - Sonoma,12/12/2013,In Construction,$120057355.30,45,Bay Area Counties
49 - Sonoma,12/12/2013,In Closure,$38112559.30,25,Bay Area Counties
50 - Stanislaus,12/12/2013,In Review,$24763550.00,18,
50 - Stanislaus,12/12/2013,Pending Construction,$4013535.00,24,
50 - Stanislaus,12/12/2013,In Construction,$13904797.66,34,
50 - Stanislaus,12/12/2013,In Closure,$81606452.20,36,
51 - Sutter,12/12/2013,In Review,$12654000.00,2,
51 - Sutter,12/12/2013,Pending Construction,$81183.00,4,
51 - Sutter,12/12/2013,In Construction,$0.00,0,
51 - Sutter,12/12/2013,In Closure,$24350.00,2,
52 - Tehama,12/12/2013,In Review,$350000.00,1,
52 - Tehama,12/12/2013,Pending Construction,$424200.00,7,
52 - Tehama,12/12/2013,In Construction,$1809800.00,4,
52 - Tehama,12/12/2013,In Closure,$0.00,0,
53 - Trinity,12/12/2013,In Review,$8200.00,2,
53 - Trinity,12/12/2013,Pending Construction,$13200.00,2,
53 - Trinity,12/12/2013,In Construction,$411172.00,1,
53 - Trinity,12/12/2013,In Closure,$0.00,0,
54 - Tulare,12/12/2013,In Review,$34722400.00,17,
54 - Tulare,12/12/2013,Pending Construction,$2617766.29,10,
54 - Tulare,12/12/2013,In Construction,$83461587.00,9,
54 - Tulare,12/12/2013,In Closure,$6132678.62,18,
55 - Tuolumne,12/12/2013,In Review,$125500.00,2,
55 - Tuolumne,12/12/2013,Pending Construction,$1007100.00,6,
55 - Tuolumne,12/12/2013,In Construction,$634000.00,4,
55 - Tuolumne,12/12/2013,In Closure,$1167723.91,11,
56 - Ventura,12/12/2013,In Review,$235486052.68,51,Greater Los Angeles Counties
56 - Ventura,12/12/2013,Pending Construction,$10076790.33,35,Greater Los Angeles Counties
56 - Ventura,12/12/2013,In Construction,$393888121.00,67,Greater Los Angeles Counties
56 - Ventura,12/12/2013,In Closure,$34673445.00,59,Greater Los Angeles Counties
57 - Yolo,12/12/2013,In Review,$831623.00,7,Greater Sacramento Counties
57 - Yolo,12/12/2013,Pending Construction,$584000.00,3,Greater Sacramento Counties
57 - Yolo,12/12/2013,In Construction,$1502144.00,8,Greater Sacramento Counties
57 - Yolo,12/12/2013,In Closure,$59405.00,2,Greater Sacramento Counties
58 - Yuba,12/12/2013,In Review,$31556706.50,2,
58 - Yuba,12/12/2013,Pending Construction,$32194689.50,4,
58 - Yuba,12/12/2013,In Construction,$68363126.00,5,
58 - Yuba,12/12/2013,In Closure,$446592.00,4,
01 - Alameda,12/31/2013,In Review,$38420857.00,44,Bay Area Counties
01 - Alameda,12/31/2013,Pending Construction,$328285654.13,124,Bay Area Counties
01 - Alameda,12/31/2013,In Construction,$1556169585.26,190,Bay Area Counties
01 - Alameda,12/31/2013,In Closure,$63763209.61,60,Bay Area Counties
02 - Alpine,12/31/2013,In Review,$0.00,0,
02 - Alpine,12/31/2013,Pending Construction,$0.00,0,
02 - Alpine,12/31/2013,In Construction,$0.00,0,
02 - Alpine,12/31/2013,In Closure,$0.00,0,
03 - Amador,12/31/2013,In Review,$1293951.00,1,
03 - Amador,12/31/2013,Pending Construction,$316858.00,1,
03 - Amador,12/31/2013,In Construction,$1593315.00,7,
03 - Amador,12/31/2013,In Closure,$244780.00,2,
04 - Butte,12/31/2013,In Review,$9362824.00,12,
04 - Butte,12/31/2013,Pending Construction,$2346586.00,9,
04 - Butte,12/31/2013,In Construction,$90754945.00,15,
04 - Butte,12/31/2013,In Closure,$1086911.00,8,
05 - Calaveras,12/31/2013,In Review,$85000.00,1,
05 - Calaveras,12/31/2013,Pending Construction,$96500.00,3,
05 - Calaveras,12/31/2013,In Construction,$0.00,0,
05 - Calaveras,12/31/2013,In Closure,$0.00,0,
06 - Colusa,12/31/2013,In Review,$15000.00,1,
06 - Colusa,12/31/2013,Pending Construction,$25000.00,1,
06 - Colusa,12/31/2013,In Construction,$1951.00,1,
06 - Colusa,12/31/2013,In Closure,$0.00,0,
07 - Contra Costa,12/31/2013,In Review,$23159769.00,32,Bay Area Counties
07 - Contra Costa,12/31/2013,Pending Construction,$20755102.00,48,Bay Area Counties
07 - Contra Costa,12/31/2013,In Construction,$38312233.98,56,Bay Area Counties
07 - Contra Costa,12/31/2013,In Closure,$12675955.60,20,Bay Area Counties
08 - Del Norte,12/31/2013,In Review,$0.00,0,
08 - Del Norte,12/31/2013,Pending Construction,$0.00,0,
08 - Del Norte,12/31/2013,In Construction,$6462001.00,3,
08 - Del Norte,12/31/2013,In Closure,$301430.00,2,
09 - El Dorado,12/31/2013,In Review,$11410240.00,6,Greater Sacramento Counties
09 - El Dorado,12/31/2013,Pending Construction,$376575.00,2,Greater Sacramento Counties
09 - El Dorado,12/31/2013,In Construction,$11361464.00,5,Greater Sacramento Counties
09 - El Dorado,12/31/2013,In Closure,$24271614.00,5,Greater Sacramento Counties
10 - Fresno,12/31/2013,In Review,$41390283.71,40,
10 - Fresno,12/31/2013,Pending Construction,$12408084.00,33,
10 - Fresno,12/31/2013,In Construction,$234777220.66,77,
10 - Fresno,12/31/2013,In Closure,$18151008.76,61,
11 - Glenn,12/31/2013,In Review,$12962075.00,2,
11 - Glenn,12/31/2013,Pending Construction,$0.00,0,
11 - Glenn,12/31/2013,In Construction,$224685.00,1,
11 - Glenn,12/31/2013,In Closure,$10000.00,1,
12 - Humboldt,12/31/2013,In Review,$5180000.00,9,
12 - Humboldt,12/31/2013,Pending Construction,$1430000.00,5,
12 - Humboldt,12/31/2013,In Construction,$88055643.00,12,
12 - Humboldt,12/31/2013,In Closure,$1167029.00,8,
13 - Imperial,12/31/2013,In Review,$25565000.00,4,
13 - Imperial,12/31/2013,Pending Construction,$1335063.00,5,
13 - Imperial,12/31/2013,In Construction,$108000.00,2,
13 - Imperial,12/31/2013,In Closure,$508711.00,2,
14 - Inyo,12/31/2013,In Review,$0.00,0,
14 - Inyo,12/31/2013,Pending Construction,$39903.00,2,
14 - Inyo,12/31/2013,In Construction,$9300.00,2,
14 - Inyo,12/31/2013,In Closure,$49769715.54,3,
15 - Kern,12/31/2013,In Review,$4247521.00,23,
15 - Kern,12/31/2013,Pending Construction,$6818800.34,15,
15 - Kern,12/31/2013,In Construction,$66981552.00,35,
15 - Kern,12/31/2013,In Closure,$16089095.82,21,
16 - Kings,12/31/2013,In Review,$430000.00,6,
16 - Kings,12/31/2013,Pending Construction,$28285000.00,8,
16 - Kings,12/31/2013,In Construction,$318722.00,6,
16 - Kings,12/31/2013,In Closure,$431436.00,4,
17 - Lake,12/31/2013,In Review,$1871000.00,5,
17 - Lake,12/31/2013,Pending Construction,$131500.00,3,
17 - Lake,12/31/2013,In Construction,$5767797.23,13,
17 - Lake,12/31/2013,In Closure,$90341.04,5,
18 - Lassen,12/31/2013,In Review,$935870.00,2,
18 - Lassen,12/31/2013,Pending Construction,$145120.00,1,
18 - Lassen,12/31/2013,In Construction,$1165643.00,9,
18 - Lassen,12/31/2013,In Closure,$0.00,0,
19 - Los Angeles,12/31/2013,In Review,$531180664.59,477,Greater Los Angeles Counties
19 - Los Angeles,12/31/2013,Pending Construction,$276149930.66,513,Greater Los Angeles Counties
19 - Los Angeles,12/31/2013,In Construction,$2236609039.43,848,Greater Los Angeles Counties
19 - Los Angeles,12/31/2013,In Closure,$624265519.83,749,Greater Los Angeles Counties
20 - Madera,12/31/2013,In Review,$695954.00,1,
20 - Madera,12/31/2013,Pending Construction,$0.00,0,
20 - Madera,12/31/2013,In Construction,$5355573.00,21,
20 - Madera,12/31/2013,In Closure,$14884642.08,10,
21 - Marin,12/31/2013,In Review,$183208715.00,18,Bay Area Counties
21 - Marin,12/31/2013,Pending Construction,$44482215.00,9,Bay Area Counties
21 - Marin,12/31/2013,In Construction,$23562956.00,20,Bay Area Counties
21 - Marin,12/31/2013,In Closure,$5604832.00,14,Bay Area Counties
22 - Mariposa,12/31/2013,In Review,$0.00,0,
22 - Mariposa,12/31/2013,Pending Construction,$0.00,0,
22 - Mariposa,12/31/2013,In Construction,$0.00,0,
22 - Mariposa,12/31/2013,In Closure,$0.00,0,
23 - Mendocino,12/31/2013,In Review,$17027175.00,11,
23 - Mendocino,12/31/2013,Pending Construction,$1040000.00,4,
23 - Mendocino,12/31/2013,In Construction,$1590332.00,11,
23 - Mendocino,12/31/2013,In Closure,$39188600.50,9,
24 - Merced,12/31/2013,In Review,$233600.00,4,
24 - Merced,12/31/2013,Pending Construction,$254075.00,5,
24 - Merced,12/31/2013,In Construction,$12965854.00,4,
24 - Merced,12/31/2013,In Closure,$257535.93,4,
25 - Modoc,12/31/2013,In Review,$0.00,0,
